"الكائن (Object) / الأصل (Parent)","اسم الخاصية (Property Name)","النوع (Type)","القيمة الافتراضية / المبدئية","الوصف والتفاصيل"
"gameData","courseConfig","Object","{}","إعدادات الدرس الأساسية (يتم تحديدها في setupCourse)"
"courseConfig","hasQuestions","Boolean","","هل يحتوي الدرس على أسئلة؟"
"courseConfig","totalVideos","Number","0","إجمالي عدد الفيديوهات في الدرس"
"courseConfig","totalInfoSlides","Number","0","إجمالي عدد الشرائح المعلوماتية"
"courseConfig","passingScore","Number","51","الحد الأدنى للنجاح في الدرس"
"gameData","studentProgress","Object","{ videos: {}, viewedInfoSlides: [], infoDetails: {} }","سجل كامل لتقدم الطالب في الفيديوهات والشرائح"
"studentProgress","videos","Object","{}","سجل تفصيلي لجميع الفيديوهات، كل فيديو يضاف باسم (video_X)"
"videos.video_X","time","Number","0","الثانية الحالية التي وصل لها الطالب في الفيديو"
"videos.video_X","duration","Number","0","المدة الإجمالية للفيديو بالثواني"
"videos.video_X","percent","Number","0","نسبة مشاهدة الفيديو (من 100)"
"videos.video_X","status","String","'incomplete'","حالة الفيديو (تصبح 'completed' عند الوصول إلى نسبة 95%)"
"studentProgress","viewedInfoSlides","Array","[]","مصفوفة (Array) تحتوي على أرقام الشرائح المعلوماتية التي قرأها الطالب"
"studentProgress","infoDetails","Object","{}","سجل تفصيلي لكل شريحة معلوماتية، تضاف باسم (info_X)"
"infoDetails.info_X","id","String","'info_X'","المعرف الخاص بالشريحة"
"infoDetails.info_X","status","String","'unviewed'","حالة قراءة الشريحة (تصبح 'viewed' عند فتح الشريحة)"
"infoDetails.info_X","timestamp","String","null","توقيت قراءة الشريحة (بصيغة ISO)"
"gameData","questions","Object","{}","سجل تفصيلي لجميع الأسئلة التي تم التفاعل معها. يضاف السؤال باسم (interactionsX)"
"questions.interactionsX","id","String","'question_X'","معرف السؤال"
"questions.interactionsX","type","String","''","نوع السؤال"
"questions.interactionsX","result","String","null","نتيجة الطالب في السؤال ('correct' للإجابة الصحيحة، 'wrong' للإجابة الخاطئة)"
"questions.interactionsX","learner_response","String","null","الإجابة التي اختارها الطالب"
"questions.interactionsX","weighting","String","'1'","وزن السؤال (لدرجات SCORM)"
"questions.interactionsX","startTime","String","","وقت بدء السؤال (لحظة فتحه)"
"questions.interactionsX","endTime","String","","وقت إرسال الإجابة"
"questions.interactionsX","duration","String","","المدة الزمنية المستغرقة للإجابة"
"questions.interactionsX","latency","String","","وقت التفكير منسق بصيغة SCORM"
"questions.interactionsX","correct_responses","String","","الإجابة النموذجية للسؤال"
"questions.interactionsX","timestamp","String","","توقيت تسجيل الإجابة (بصيغة ISO)"
"questions.interactionsX","attempts","Number","0","عدد المحاولات التي قام بها الطالب لحل السؤال"
"gameData","score","Object","{ raw: 0, scaled: 0, min: 0, max: 100 }","الدرجات الإجمالية للطالب"
"score","raw","Number","0","الدرجة الخام (النسبة المئوية، من 0 إلى 100)"
"score","scaled","Number","0","الدرجة الموزونة (من 0.0 إلى 1.0)"
"score","min","Number","0","الحد الأدنى للدرجة"
"score","max","Number","100","الحد الأقصى للدرجة"
"gameData","completion_status","String","'incomplete'","حالة إكتمال الدرس ككل ('completed' عند إكمال الفيديوهات والشرائح والأسئلة)"
"gameData","success_status","String","'unknown'","حالة النجاح في الدرس ('passed' عند تخطي نسبة النجاح، و 'failed' عند الرسوب)"
"gameData","Result","Object","{ totalQuestions: 0, correctAnswers: 0, totalScore: 0, lessonStatus: 'incomplete' }","ملخص تفصيلي بنتيجة الدرس"
"Result","totalQuestions","Number","0","إجمالي عدد الأسئلة في الدرس"
"Result","correctAnswers","Number","0","عدد الإجابات الصحيحة التي حققها الطالب"
"Result","totalScore","Number","0","النتيجة الكلية كنسبة مئوية"
"Result","lessonStatus","String","'incomplete'","النتيجة النهائية للطالب ('passed' أو 'failed' أو 'incomplete')"
"gameData","lastAction","Object","null","آخر حركة قام بها الطالب (لتسجيل نشاطه)"
"lastAction","type","String","","نوع آخر حركة ('info' لفتح شريحة أو 'question' لحل سؤال)"
"lastAction","id","Number / String","","رقم الشريحة أو معرف السؤال للآخر حركة"
"gameData","endTimeId","String","","توقيت إنهاء التقييم والحفظ (بصيغة السنة/الشهر/اليوم والساعة:الدقيقة:الثانية)"
"gameData","total_time","String","","الوقت الإجمالي المستغرق في اللعبة / الدرس"
"gameData","lastUpdate","String","","توقيت آخر عملية تحديث للبيانات (بصيغة ISO)"
